Basic Block: addr=0x00000000004004e0, size=0x000000000000001b
Basic Block: addr=0x00000000004004f6, size=0x0000000000000005
Basic Block: addr=0x00000000004004fb, size=0x000000000000000c
The flag is: 
Basic Block: addr=0x0000000000400507, size=0x000000000000000e
Basic Block: addr=0x000000000040051b, size=0x0000000000000016
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x00000000004006f8, size=0x0000000000000012
Basic Block: addr=0x0000000000400531, size=0x0000000000000018
Basic Block: addr=0x0000000000400518, size=0x0000000000000019
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400710, size=0x0000000000000007
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x00000000004006f8, size=0x0000000000000012
Basic Block: addr=0x0000000000400717, size=0x000000000000001d
Basic Block: addr=0x00000000004006bc, size=0x0000000000000036
Basic Block: addr=0x0000000000400531, size=0x0000000000000018
Basic Block: addr=0x0000000000400518, size=0x0000000000000019
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400686, size=0x0000000000000008
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x00000000004006f8, size=0x0000000000000012
Basic Block: addr=0x000000000040068e, size=0x000000000000000e
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400710, size=0x0000000000000007
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x00000000004006f8, size=0x0000000000000012
Basic Block: addr=0x0000000000400717, size=0x000000000000001d
Basic Block: addr=0x00000000004006bc, size=0x0000000000000036
Basic Block: addr=0x000000000040069c, size=0x0000000000000000
Basic Block: addr=0x0000000000400531, size=0x0000000000000018
Basic Block: addr=0x0000000000400518, size=0x0000000000000019
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400686, size=0x0000000000000008
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400710, size=0x0000000000000007
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x00000000004006f8, size=0x0000000000000012
Basic Block: addr=0x0000000000400717, size=0x000000000000001d
Basic Block: addr=0x00000000004006bc, size=0x0000000000000036
Basic Block: addr=0x000000000040068e, size=0x000000000000000e
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400686, size=0x0000000000000008
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x00000000004006f8, size=0x0000000000000012
Basic Block: addr=0x000000000040068e, size=0x000000000000000e
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400710, size=0x0000000000000007
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x00000000004006f8, size=0x0000000000000012
Basic Block: addr=0x0000000000400717, size=0x000000000000001d
Basic Block: addr=0x00000000004006bc, size=0x0000000000000036
Basic Block: addr=0x000000000040069c, size=0x0000000000000000
Basic Block: addr=0x000000000040069c, size=0x0000000000000000
Basic Block: addr=0x0000000000400531, size=0x0000000000000018
Basic Block: addr=0x0000000000400518, size=0x0000000000000019
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400686, size=0x0000000000000008
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400686, size=0x0000000000000008
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x00000000004006f8, size=0x0000000000000012
Basic Block: addr=0x000000000040068e, size=0x000000000000000e
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400710, size=0x0000000000000007
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x00000000004006f8, size=0x0000000000000012
Basic Block: addr=0x0000000000400717, size=0x000000000000001d
Basic Block: addr=0x00000000004006bc, size=0x0000000000000036
Basic Block: addr=0x000000000040069c, size=0x0000000000000000
Basic Block: addr=0x000000000040068e, size=0x000000000000000e
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400686, size=0x0000000000000008
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400710, size=0x0000000000000007
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x00000000004006f8, size=0x0000000000000012
Basic Block: addr=0x0000000000400717, size=0x000000000000001d
Basic Block: addr=0x00000000004006bc, size=0x0000000000000036
Basic Block: addr=0x000000000040068e, size=0x000000000000000e
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400686, size=0x0000000000000008
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x00000000004006f8, size=0x0000000000000012
Basic Block: addr=0x000000000040068e, size=0x000000000000000e
Basic Block: addr=0x0000000000400670, size=0x000000000000000b
Basic Block: addr=0x000000000040067b, size=0x000000000000000b
Basic Block: addr=0x0000000000400710, size=0x0000000000000007
